Mass,Treatment,Fraction,Day,RunNum,Intensity
15062.89,NC,pellet,20,1,1492719.94
15064.81,NC,pellet,20,1,16971.5
15079.79,NC,pellet,20,1,557.86
15129.62,NC,pellet,20,1,456.15
15211.66,NC,pellet,20,1,286.92
15277.96,NC,pellet,20,1,1379101.36
15292.88,NC,pellet,20,1,2693.6
15304.7,NC,pellet,20,1,398.99
15483.27,NC,pellet,20,1,185609.39
15670.12,NC,pellet,20,1,643943.14
15840.22,NC,pellet,20,1,176795.92
16618.12,NC,pellet,20,1,10698.12
17212.72,NC,pellet,20,1,34636.24
17226.92,NC,pellet,20,1,45939.07
17243.78,NC,pellet,20,1,2734492.07
17259.78,NC,pellet,20,1,374797.91
17275.94,NC,pellet,20,1,76524.34
17296.78,NC,pellet,20,1,18493.24
17322.77,NC,pellet,20,1,40111.04
17338.76,NC,pellet,20,1,44893.66
17355.74,NC,pellet,20,1,17622.48
17739.77,NC,pellet,20,1,17441.28
17789.44,NC,pellet,20,1,14826.05
18135.35,NC,pellet,20,1,116060.05
18148.17,NC,pellet,20,1,73922.29
18163.27,NC,pellet,20,1,259416.49
18177.29,NC,pellet,20,1,1898318.65
18192.3,NC,pellet,20,1,3792394.58
18206.31,NC,pellet,20,1,6355883
18222.29,NC,pellet,20,1,1177841.87
18232.26,NC,pellet,20,1,60685.98
18237.27,NC,pellet,20,1,258520.38
18257.29,NC,pellet,20,1,219468.76
18273.25,NC,pellet,20,1,121064.76
18285.26,NC,pellet,20,1,269152.4
18347.41,NC,pellet,20,1,94463.09
18354.26,NC,pellet,20,1,32309.46
18365.36,NC,pellet,20,1,68401.79
18374.32,NC,pellet,20,1,35375.9
18388.38,NC,pellet,20,1,28962.29
18413.44,NC,pellet,20,1,127978.15
18418.42,NC,pellet,20,1,31543.64
18430.42,NC,pellet,20,1,94948.21
18435.44,NC,pellet,20,1,54887.17
18445.44,NC,pellet,20,1,634617.59
18459.45,NC,pellet,20,1,743633.39
18474.46,NC,pellet,20,1,1435054.91
18489.48,NC,pellet,20,1,5916949.98
18503.49,NC,pellet,20,1,11395426.94
18518.52,NC,pellet,20,1,18344735.2
18534.49,NC,pellet,20,1,5267305.48
18551.47,NC,pellet,20,1,2177456.18
18563.45,NC,pellet,20,1,160043.75
18568.48,NC,pellet,20,1,1893769.79
18573.63,NC,pellet,20,1,70917.49
18583.48,NC,pellet,20,1,1813286.49
18598.49,NC,pellet,20,1,2005988.86
18615.44,NC,pellet,20,1,440827.47
18622.28,NC,pellet,20,1,104286.65
18629.44,NC,pellet,20,1,139122.57
18638.44,NC,pellet,20,1,36288.41
18646.46,NC,pellet,20,1,51524.44
18654.44,NC,pellet,20,1,129798.45
18665.4,NC,pellet,20,1,165232.78
18680.5,NC,pellet,20,1,100979.46
18724.98,NC,pellet,20,1,13858.67
18743.9,NC,pellet,20,1,39261.93
18757.47,NC,pellet,20,1,170317.62
18770.44,NC,pellet,20,1,109974.09
18776.45,NC,pellet,20,1,18585.12
18781.72,NC,pellet,20,1,20861.85
18791.45,NC,pellet,20,1,19519.89
18868.46,NC,pellet,20,1,10616.94
18923.61,NC,pellet,20,1,17447.25
19218.81,NC,pellet,20,1,24023.92
19383.78,NC,pellet,20,1,40041.19
19722.2,NC,pellet,20,1,10548.12
19892.06,NC,pellet,20,1,984.28
20097.55,NC,pellet,20,1,118109.25
20114.53,NC,pellet,20,1,474608.7
20126.49,NC,pellet,20,1,106826.25
20131.4,NC,pellet,20,1,503667.73
20143.38,NC,pellet,20,1,1352317.43
20157.46,NC,pellet,20,1,1311085.02
20171.6,NC,pellet,20,1,6226127.27
20188.49,NC,pellet,20,1,35341452.13
20204.47,NC,pellet,20,1,5271555.01
20219.5,NC,pellet,20,1,3674596.91
20236.58,NC,pellet,20,1,2574054.49
20244.63,NC,pellet,20,1,21446.63
20252.56,NC,pellet,20,1,605003.47
20268.45,NC,pellet,20,1,1124080.8
20287.38,NC,pellet,20,1,607009.66
20349.43,NC,pellet,20,1,774978.45
21262.92,NC,pellet,20,1,59860.45
21746.13,NC,pellet,20,1,9256.51
21762.17,NC,pellet,20,1,983132.36
22678.5,NC,pellet,20,1,781742.34
22696.42,NC,pellet,20,1,77239.83
22759.4,NC,pellet,20,1,343115.92
23128.58,NC,pellet,20,1,9431.07
23933.41,NC,pellet,20,1,330.75
24106.02,NC,pellet,20,1,2134676.93
24123.03,NC,pellet,20,1,152929.53
24154.05,NC,pellet,20,1,56747.34
24315,NC,pellet,20,1,20038.01
24514.1,NC,pellet,20,1,1043687.44
24531.11,NC,pellet,20,1,105994.81
26390.14,NC,pellet,20,1,13310.29
27499.67,NC,pellet,20,1,10065.95
27754.62,NC,pellet,20,1,7801.24
3108.56,NC,pellet,20,2,150301.73
3122.58,NC,pellet,20,2,224022.03
3137.34,NC,pellet,20,2,74491.22
3176.29,NC,pellet,20,2,1656640.15
3337.66,NC,pellet,20,2,68927.22
3405.69,NC,pellet,20,2,103165.12
3420.71,NC,pellet,20,2,75474.88
3434.73,NC,pellet,20,2,51354.71
3568.06,NC,pellet,20,2,696747.75
3568.57,NC,pellet,20,2,3847668.88
3570.67,NC,pellet,20,2,95.94
3599.7,NC,pellet,20,2,83196.43
3710.3,NC,pellet,20,2,64097.06
3714.92,NC,pellet,20,2,46926
3720.09,NC,pellet,20,2,53912.91
3945.54,NC,pellet,20,2,243.01
3961.86,NC,pellet,20,2,434550.18
3983.04,NC,pellet,20,2,50597.91
4048.07,NC,pellet,20,2,160277.59
4169.15,NC,pellet,20,2,55224.21
4264.5,NC,pellet,20,2,45293.31
4272.16,NC,pellet,20,2,1435583.62
4284.64,NC,pellet,20,2,217.47
4298.71,NC,pellet,20,2,32017.47
4327.18,NC,pellet,20,2,57061.49
4343.78,NC,pellet,20,2,52461.02
4362.2,NC,pellet,20,2,78676.08
4380.26,NC,pellet,20,2,150978.38
4385.92,NC,pellet,20,2,1074.68
4445.22,NC,pellet,20,2,4445063.53
4511.28,NC,pellet,20,2,646015.94
4529.09,NC,pellet,20,2,155383.13
4536.06,NC,pellet,20,2,97043.66
4555.99,NC,pellet,20,2,508.11
4558.31,NC,pellet,20,2,2245306.58
4609.84,NC,pellet,20,2,60
4612.5,NC,pellet,20,2,177494.75
4621.49,NC,pellet,20,2,1122387.49
4630.6,NC,pellet,20,2,100873.04
4684.09,NC,pellet,20,2,589.34
4705.37,NC,pellet,20,2,1901294.93
4753,NC,pellet,20,2,98792.32
4953.05,NC,pellet,20,2,66195.39
4969.83,NC,pellet,20,2,507319.4
4994.09,NC,pellet,20,2,62729.44
5110.99,NC,pellet,20,2,601.52
5124.99,NC,pellet,20,2,1727.8
5139.01,NC,pellet,20,2,2164.42
5153.02,NC,pellet,20,2,1908.38
5181.02,NC,pellet,20,2,276.54
5195.03,NC,pellet,20,2,161.72
5204.53,NC,pellet,20,2,56890.37
5229.39,NC,pellet,20,2,47154.11
5251.05,NC,pellet,20,2,42.79
5329.02,NC,pellet,20,2,136656.05
5479.75,NC,pellet,20,2,95712.05
5863.94,NC,pellet,20,2,44630.32
6085.78,NC,pellet,20,2,913540.4
6169.41,NC,pellet,20,2,1210806.36
6297.82,NC,pellet,20,2,48941.78
6338.93,NC,pellet,20,2,68466.14
6344.08,NC,pellet,20,2,117.73
6397.52,NC,pellet,20,2,397846.16
6414.93,NC,pellet,20,2,149692.18
6481.95,NC,pellet,20,2,73337.24
6502.89,NC,pellet,20,2,36766.84
6507.06,NC,pellet,20,2,187.89
6511.56,NC,pellet,20,2,3012893.89
6600.79,NC,pellet,20,2,197.44
6610.63,NC,pellet,20,2,2248371.65
6627.87,NC,pellet,20,2,493.45
6643.89,NC,pellet,20,2,31961.73
6659.88,NC,pellet,20,2,19105.53
6675.88,NC,pellet,20,2,2120.89
6676.82,NC,pellet,20,2,812610.95
6682.86,NC,pellet,20,2,349.68
6690.83,NC,pellet,20,2,344742.99
6691.89,NC,pellet,20,2,2246.08
6706.86,NC,pellet,20,2,1412.98
6721.9,NC,pellet,20,2,905.18
6733.89,NC,pellet,20,2,9689
6739.81,NC,pellet,20,2,1810972.92
6741.87,NC,pellet,20,2,1075.34
6747.13,NC,pellet,20,2,414408.41
6749.89,NC,pellet,20,2,6512.85
6757.85,NC,pellet,20,2,773.45
6762.82,NC,pellet,20,2,323155.09
6765.89,NC,pellet,20,2,1535.74
6772.86,NC,pellet,20,2,456.5
6780.87,NC,pellet,20,2,1089.28
6798.38,NC,pellet,20,2,507.15
6805.94,NC,pellet,20,2,2940.98
6811.81,NC,pellet,20,2,117.51
6812.13,NC,pellet,20,2,54402.56
6820.94,NC,pellet,20,2,960.99
6828.08,NC,pellet,20,2,232.11
6839.82,NC,pellet,20,2,690.21
6849.37,NC,pellet,20,2,36.03
6854.82,NC,pellet,20,2,261.05
6931.49,NC,pellet,20,2,337813.42
6939.26,NC,pellet,20,2,462675.52
6955.31,NC,pellet,20,2,31975.25
7023.77,NC,pellet,20,2,58355.9
7212.83,NC,pellet,20,2,65572.64
7238.96,NC,pellet,20,2,29558.63
7369.44,NC,pellet,20,2,2634308.5
7395.06,NC,pellet,20,2,100250.81
7400.73,NC,pellet,20,2,479.22
7457.86,NC,pellet,20,2,71.66
7515.85,NC,pellet,20,2,20.99
7586.96,NC,pellet,20,2,3360.56
7596.58,NC,pellet,20,2,9354717.71
7608.9,NC,pellet,20,2,35.92
7612.57,NC,pellet,20,2,573670.99
7617.87,NC,pellet,20,2,108.86
7618.58,NC,pellet,20,2,950978.71
7627.56,NC,pellet,20,2,84338.84
7635.5,NC,pellet,20,2,629279.32
7657.52,NC,pellet,20,2,122212.73
7741.94,NC,pellet,20,2,559.38
7749,NC,pellet,20,2,52.31
7780.91,NC,pellet,20,2,444.75
7840.05,NC,pellet,20,2,48.53
7905.73,NC,pellet,20,2,791.31
7910,NC,pellet,20,2,6261.95
7910.02,NC,pellet,20,2,284.22
7924.99,NC,pellet,20,2,111.32
7938.07,NC,pellet,20,2,552.01
7952.98,NC,pellet,20,2,282.7
8072.06,NC,pellet,20,2,81.45
8306.79,NC,pellet,20,2,50342.54
9214.35,NC,pellet,20,2,110.32
9277.69,NC,pellet,20,2,46529.02
9402.31,NC,pellet,20,2,401.78
9414.86,NC,pellet,20,2,35114.75
9769.12,NC,pellet,20,2,152404
10097.47,NC,pellet,20,2,1168877.14
10339.61,NC,pellet,20,2,503848.1
